episode_num,ep_ext_reward,ep_success,ep_steps
0,0.0,0,75
1,0.0,0,18
2,0.0,0,5
3,0.0,0,36
4,0.0,0,22
5,0.0,0,107
6,0.0,0,4
7,0.0,0,37
8,0.0,0,38
9,0.0,0,6
10,0.0,0,108
11,0.0,0,69
12,0.0,0,137
13,0.0,0,12
14,0.0,0,86
15,0.51785713,1,135
16,0.0,0,2
17,0.0,0,5
18,0.0,0,2
19,0.0,0,2
20,0.0,0,84
21,0.0,0,31
22,0.0,0,94
23,0.0,0,2
24,0.0,0,125
25,0.0,0,123
26,0.0,0,174
27,0.0,0,37
28,0.0,0,15
29,0.0,0,214
30,0.0,0,110
31,0.0,0,178
32,0.0,0,66
33,0.6857143,1,88
34,0.0,0,12
35,0.0,0,93
36,0.0,0,10
37,0.0,0,10
38,0.0,0,2
39,0.0,0,102
40,0.0,0,24
41,0.0,0,207
42,0.0,0,29
43,0.0,0,78
44,0.0,0,133
45,0.0,0,59
46,0.0,0,252
47,0.0,0,17
48,0.0,0,28
49,0.0,0,2
50,0.0,0,58
51,0.0,0,15
52,0.0,0,66
53,0.0,0,15
54,0.0,0,41
55,0.0,0,58
56,0.0,0,101
57,0.0,0,16
58,0.0,0,6
59,0.0,0,16
60,0.0,0,51
61,0.0,0,71
62,0.0,0,252
63,0.0,0,44
64,0.0,0,4
65,0.0,0,2
66,0.0,0,15
67,0.0,0,10
68,0.0,0,74
69,0.0,0,33
70,0.0,0,14
71,0.0,0,7
72,0.0,0,29
73,0.0,0,5
74,0.0,0,45
75,0.0,0,14
76,0.0,0,13
77,0.0,0,17
78,0.0,0,6
79,0.0,0,8
80,0.0,0,113
81,0.0,0,52
82,0.0,0,22
83,0.0,0,70
84,0.0,0,64
85,0.0,0,29
86,0.0,0,12
87,0.0,0,11
88,0.0,0,33
89,0.0,0,8
90,0.0,0,2
91,0.0,0,103
92,0.0,0,116
93,0.0,0,8
94,0.0,0,12
95,0.0,0,55
96,0.0,0,2
97,0.0,0,2
98,0.0,0,4
99,0.0,0,30
100,0.0,0,90
101,0.0,0,5
102,0.0,0,40
103,0.0,0,4
104,0.0,0,2
105,0.0,0,47
106,0.0,0,17
107,0.0,0,2
108,0.0,0,4
109,0.0,0,21
110,0.0,0,6
111,0.0,0,2
112,0.0,0,2
113,0.0,0,67
114,0.0,0,41
115,0.0,0,30
116,0.0,0,48
117,0.0,0,33
118,0.0,0,2
119,0.0,0,2
120,0.0,0,2
121,0.0,0,4
122,0.0,0,53
123,0.0,0,113
124,0.0,0,51
125,0.0,0,16
126,0.0,0,38
127,0.0,0,16
128,0.0,0,19
129,0.0,0,10
130,0.0,0,17
131,0.0,0,31
132,0.0,0,2
133,0.0,0,8
134,0.0,0,2
135,0.0,0,10
136,0.0,0,24
137,0.0,0,76
138,0.0,0,2
139,0.0,0,24
140,0.0,0,19
141,0.0,0,44
142,0.0,0,2
143,0.0,0,244
144,0.0,0,56
145,0.0,0,48
146,0.0,0,2
147,0.0,0,6
148,0.0,0,51
149,0.0,0,108
150,0.0,0,105
151,0.0,0,184
152,0.0,0,28
153,0.0,0,250
154,0.0,0,38
155,0.0,0,6
156,0.0,0,2
157,0.0,0,2
158,0.0,0,2
159,0.0,0,10
160,0.0,0,2
161,0.0,0,2
162,0.0,0,2
163,0.0,0,16
164,0.0,0,12
165,0.0,0,18
166,0.0,0,2
167,0.0,0,30
168,0.0,0,2
169,0.0,0,36
170,0.0,0,56
171,0.0,0,186
172,0.0,0,121
173,0.0,0,8
174,0.0,0,2
175,0.0,0,24
176,0.0,0,32
177,0.0,0,32
178,0.0,0,6
179,0.0,0,20
180,0.0,0,14
181,0.0,0,14
182,0.0,0,37
183,0.0,0,2
184,0.0,0,12
185,0.0,0,30
186,0.0,0,18
187,0.0,0,2
188,0.0,0,8
189,0.0,0,54
190,0.0,0,2
191,0.0,0,8
192,0.0,0,252
193,0.0,0,49
194,0.0,0,252
195,0.0,0,2
196,0.0,0,252
197,0.0,0,252
198,0.0,0,252
199,0.0,0,2
200,0.49285713,1,142
201,0.0,0,2
202,0.0,0,252
203,0.4107143,1,165
204,0.6785714,1,90
205,0.0,0,151
206,0.0,0,252
207,0.0,0,252
208,0.0,0,2
209,0.0,0,252
210,0.0,0,252
211,0.0,0,2
212,0.0,0,2
213,0.0,0,2
214,0.0,0,252
215,0.0,0,252
216,0.0,0,2
217,0.0,0,252
218,0.0,0,2
219,0.0,0,2
220,0.0,0,2
221,0.0,0,238
222,0.0,0,4
223,0.0,0,2
224,0.0,0,8
225,0.0,0,6
226,0.0,0,2
227,0.0,0,10
228,0.0,0,2
229,0.0,0,8
230,0.0,0,10
231,0.0,0,4
232,0.0,0,2
233,0.0,0,2
234,0.0,0,2
235,0.0,0,2
236,0.0,0,2
237,0.0,0,6
238,0.0,0,2
239,0.0,0,6
240,0.0,0,2
241,0.0,0,2
242,0.0,0,4
243,0.0,0,4
244,0.0,0,6
245,0.0,0,2
246,0.0,0,8
247,0.0,0,16
248,0.0,0,4
249,0.0,0,2
250,0.0,0,8
251,0.0,0,8
252,0.0,0,4
253,0.0,0,4
254,0.0,0,6
255,0.0,0,2
256,0.0,0,10
257,0.0,0,4
258,0.0,0,6
259,0.0,0,2
260,0.0,0,9
261,0.0,0,2
262,0.0,0,10
263,0.0,0,2
264,0.0,0,2
265,0.0,0,12
266,0.0,0,6
267,0.0,0,2
268,0.0,0,2
269,0.0,0,6
270,0.0,0,8
271,0.0,0,4
272,0.0,0,2
273,0.0,0,2
274,0.0,0,2
275,0.0,0,2
276,0.0,0,6
277,0.0,0,4
278,0.0,0,2
279,0.0,0,2
280,0.0,0,2
281,0.0,0,2
282,0.0,0,20
283,0.0,0,2
284,0.0,0,2
285,0.0,0,2
286,0.0,0,2
287,0.0,0,4
288,0.0,0,6
289,0.0,0,8
290,0.0,0,2
291,0.0,0,2
292,0.0,0,4
293,0.0,0,8
294,0.0,0,2
295,0.0,0,4
296,0.0,0,12
297,0.0,0,10
298,0.0,0,4
299,0.0,0,7
300,0.0,0,6
301,0.0,0,20
302,0.0,0,2
303,0.0,0,6
304,0.0,0,4
305,0.0,0,2
306,0.0,0,6
307,0.0,0,6
308,0.0,0,4
309,0.0,0,2
310,0.0,0,4
311,0.0,0,2
312,0.0,0,2
313,0.0,0,2
314,0.0,0,2
315,0.0,0,6
316,0.0,0,4
317,0.0,0,2
318,0.0,0,2
319,0.0,0,2
320,0.0,0,2
321,0.0,0,4
322,0.0,0,4
323,0.0,0,10
324,0.0,0,6
325,0.0,0,4
326,0.0,0,6
327,0.0,0,4
328,0.0,0,9
329,0.0,0,4
330,0.0,0,2
331,0.0,0,2
332,0.0,0,6
333,0.0,0,4
334,0.0,0,2
335,0.0,0,10
336,0.0,0,6
337,0.0,0,2
338,0.0,0,2
339,0.0,0,8
340,0.0,0,6
341,0.0,0,6
342,0.0,0,12
343,0.0,0,2
344,0.0,0,2
345,0.0,0,12
346,0.0,0,6
347,0.0,0,2
348,0.0,0,2
349,0.0,0,4
350,0.0,0,2
351,0.0,0,2
352,0.0,0,4
353,0.0,0,2
354,0.0,0,12
355,0.0,0,4
356,0.0,0,6
357,0.0,0,2
358,0.0,0,2
359,0.0,0,10
360,0.0,0,2
361,0.0,0,4
362,0.0,0,2
363,0.0,0,2
364,0.0,0,20
365,0.0,0,8
366,0.0,0,2
367,0.0,0,6
368,0.0,0,10
369,0.0,0,6
370,0.0,0,14
371,0.0,0,2
372,0.0,0,2
373,0.0,0,2
374,0.0,0,6
375,0.0,0,2
376,0.0,0,6
377,0.0,0,2
378,0.0,0,2
379,0.0,0,2
380,0.0,0,2
381,0.0,0,16
382,0.0,0,2
383,0.0,0,10
384,0.0,0,6
385,0.0,0,2
386,0.0,0,2
387,0.0,0,4
388,0.0,0,18
389,0.0,0,8
390,0.0,0,16
391,0.0,0,10
392,0.0,0,2
393,0.0,0,8
394,0.0,0,4
395,0.0,0,8
396,0.0,0,2
397,0.0,0,4
398,0.0,0,2
399,0.0,0,8
400,0.0,0,2
401,0.0,0,2
402,0.0,0,8
403,0.0,0,2
404,0.0,0,2
405,0.0,0,6
406,0.0,0,2
407,0.0,0,10
408,0.0,0,6
409,0.0,0,2
410,0.0,0,2
411,0.0,0,2
412,0.0,0,2
413,0.0,0,10
414,0.0,0,2
415,0.0,0,18
416,0.0,0,10
417,0.0,0,2
418,0.0,0,12
419,0.0,0,4
420,0.0,0,2
421,0.0,0,10
422,0.0,0,6
423,0.0,0,44
424,0.0,0,10
425,0.0,0,252
426,0.0,0,14
427,0.0,0,26
428,0.0,0,68
429,0.0,0,42
430,0.0,0,2
431,0.0,0,16
432,0.0,0,104
433,0.0,0,44
434,0.0,0,252
435,0.0,0,14
436,0.0,0,52
437,0.0,0,38
438,0.49642858,1,141
439,0.7285714,1,76
440,0.0,0,2
441,0.75714284,1,68
442,0.475,1,147
443,0.4107143,1,165
444,0.43571427,1,158
445,0.73214287,1,75
446,0.21785714,1,219
447,0.73571426,1,74
448,0.0,0,252
449,0.0,0,252
450,0.0,0,252
451,0.0,0,252
452,0.0,0,252
453,0.0,0,252
454,0.0,0,252
455,0.0,0,252
456,0.0,0,252
457,0.0,0,252
458,0.0,0,252
459,0.0,0,252
460,0.0,0,252
461,0.0,0,252
462,0.0,0,252
463,0.0,0,252
464,0.0,0,252
465,0.0,0,252
466,0.0,0,252
467,0.0,0,252
468,0.0,0,153
469,0.0,0,252
470,0.0,0,71
471,0.0,0,17
472,0.0,0,252
473,0.0,0,252
474,0.0,0,252
475,0.0,0,252
476,0.0,0,252
477,0.0,0,252
478,0.0,0,252
479,0.0,0,252
480,0.0,0,252
481,0.0,0,252
482,0.0,0,252
483,0.0,0,252
484,0.0,0,252
485,0.0,0,252
486,0.0,0,252
487,0.0,0,252
488,0.0,0,252
489,0.0,0,252
490,0.0,0,252
491,0.0,0,252
492,0.0,0,252
493,0.0,0,252
494,0.0,0,252
495,0.0,0,252
496,0.0,0,252
497,0.0,0,252
498,0.0,0,252
499,0.0,0,252
500,0.0,0,252
501,0.0,0,252
502,0.0,0,252
503,0.0,0,252
504,0.0,0,252
505,0.0,0,252
506,0.0,0,252
507,0.0,0,252
508,0.0,0,252
509,0.0,0,252
510,0.0,0,252
511,0.0,0,252
512,0.0,0,252
513,0.0,0,252
514,0.0,0,252
515,0.0,0,252
516,0.0,0,252
517,0.0,0,252
518,0.0,0,252
519,0.0,0,252
520,0.0,0,252
521,0.0,0,252
522,0.0,0,252
523,0.0,0,252
524,0.0,0,252
525,0.0,0,252
526,0.0,0,252
527,0.0,0,252
528,0.0,0,252
529,0.0,0,252
530,0.0,0,252
531,0.0,0,252
532,0.0,0,252
533,0.0,0,252
534,0.0,0,252
535,0.0,0,252
536,0.0,0,252
537,0.0,0,252
538,0.0,0,252
539,0.0,0,252
540,0.0,0,11
541,0.0,0,252
542,0.0,0,252
543,0.0,0,229
544,0.0,0,252
545,0.0,0,252
546,0.0,0,252
547,0.0,0,252
548,0.0,0,252
549,0.0,0,252
550,0.0,0,252
551,0.0,0,252
552,0.0,0,172
553,0.0,0,252
554,0.0,0,252
555,0.0,0,252
556,0.0,0,252
557,0.0,0,252
558,0.0,0,252
559,0.0,0,252
560,0.0,0,252
561,0.0,0,252
562,0.0,0,252
563,0.0,0,252
564,0.0,0,252
565,0.0,0,252
566,0.0,0,252
567,0.0,0,252
568,0.0,0,252
569,0.61071426,1,109
570,0.11785714,1,247
571,0.70357144,1,83
572,0.0,0,252
573,0.2,1,224
574,0.0,0,252
575,0.325,1,189
576,0.5285714,1,132
577,0.8035714,1,55
578,0.57857144,1,118
579,0.6785714,1,90
580,0.2,1,224
581,0.45357144,1,153
582,0.0,0,252
583,0.71428573,1,80
584,0.6892857,1,87
585,0.5392857,1,129
586,0.46071428,1,151
587,0.73571426,1,74
588,0.69285715,1,86
589,0.3642857,1,178
590,0.0,0,36
591,0.32142857,1,190
592,0.6857143,1,88
593,0.45714286,1,152
594,0.8857143,1,32
595,0.57857144,1,118
596,0.79642856,1,57
597,0.875,1,35
598,0.7,1,84
599,0.8107143,1,53
600,0.7607143,1,67
601,0.0,0,252
602,0.0,0,252
603,0.0,0,252
604,0.0,0,252
605,0.0,0,252
606,0.0,0,252
607,0.0,0,252
608,0.0,0,252
609,0.0,0,252
610,0.0,0,252
611,0.0,0,252
612,0.0,0,252
613,0.0,0,252
614,0.0,0,252
615,0.0,0,252
616,0.0,0,252
617,0.0,0,252
618,0.0,0,252
619,0.0,0,252
620,0.0,0,252
621,0.0,0,252
622,0.0,0,252
623,0.0,0,252
624,0.0,0,252
625,0.8857143,1,32
626,0.0,0,252
627,0.0,0,252
628,0.0,0,252
629,0.0,0,252
630,0.0,0,252
631,0.0,0,252
632,0.0,0,252
633,0.0,0,252
634,0.0,0,252
635,0.0,0,252
636,0.0,0,252
637,0.0,0,252
638,0.39642859,1,169
639,0.7107143,1,81
640,0.75357145,1,69
641,0.86785716,1,37
642,0.8964286,1,29
643,0.775,1,63
644,0.86785716,1,37
645,0.9,1,28
646,0.9,1,28
647,0.87142855,1,36
648,0.70357144,1,83
649,0.8964286,1,29
650,0.925,1,21
651,0.87857145,1,34
652,0.8,1,56
653,0.87857145,1,34
654,0.82857144,1,48
655,0.87142855,1,36
656,0.88214284,1,33
657,0.88928574,1,31
658,0.83928573,1,45
659,0.8464286,1,43
660,0.91785717,1,23
661,0.925,1,21
662,0.87142855,1,36
663,0.575,1,119
664,0.3857143,1,172
665,0.6357143,1,102
666,0.625,1,105
667,0.6,1,112
668,0.58928573,1,115
669,0.8035714,1,55
670,0.68214285,1,89
671,0.76785713,1,65
672,0.8428571,1,44
673,0.0,0,252
674,0.0,0,252
675,0.0,0,252
676,0.0,0,252
677,0.0,0,252
678,0.0,0,252
679,0.0,0,252
680,0.0,0,252
681,0.0,0,252
682,0.0,0,252
683,0.0,0,252
684,0.0,0,252
685,0.0,0,252
686,0.0,0,252
687,0.6464286,1,99
688,0.61785716,1,107
689,0.675,1,91
690,0.34642857,1,183
691,0.0,0,252
692,0.0,0,252
693,0.50357145,1,139
694,0.28214285,1,201
695,0.0,0,252
696,0.0,0,252
697,0.0,0,252
