episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.01,0,1
1,0.0,0.33,0,125
2,0.0,0.0,0,1
3,0.0,0.0,0,1
4,0.0,0.03,0,13
5,0.0,0.63,0,196
6,0.0,0.04,0,11
7,0.0,0.01,0,3
8,0.0,0.13,0,26
9,0.0,0.43,0,110
10,0.0,0.21,0,60
11,0.0,0.64,0,196
12,0.0,0.1,0,17
13,0.0,0.1,0,33
14,0.0,0.22,0,84
15,0.0,0.01,0,1
16,0.0,0.03,0,4
17,0.0,0.45,0,143
18,0.0,0.01,0,1
19,0.0,0.01,0,5
20,0.0,0.07,0,21
21,0.0,0.01,0,1
22,0.0,0.6,0,163
23,0.0,0.01,0,1
24,0.0,0.18,0,38
25,0.0,0.05,0,19
26,0.0,0.08,0,18
27,0.0,0.19,0,41
28,0.0,0.02,0,2
29,0.0,0.01,0,1
30,0.0,0.31,0,81
31,0.0,0.01,0,1
32,0.0,0.11,0,33
33,0.0,0.0,0,1
34,0.0,0.13,0,30
35,0.0,0.13,0,20
36,0.0,0.01,0,4
37,0.0,0.0,0,1
38,0.0,0.17,0,36
39,0.0,0.52,0,129
40,0.0,0.12,0,25
41,0.0,0.03,0,3
42,0.0,0.01,0,1
43,0.0,0.22,0,67
44,0.0,0.13,0,27
45,0.0,0.08,0,32
46,0.0,0.07,0,14
47,0.0,0.26,0,82
48,0.0,0.08,0,17
49,0.0,0.02,0,2
50,0.0,0.25,0,60
51,0.0,0.12,0,44
52,0.0,0.0,0,1
53,0.0,0.23,0,67
54,0.0,0.08,0,17
55,0.0,0.04,0,15
56,0.0,0.68,0,196
57,0.0,0.13,0,28
58,0.0,0.28,0,75
59,0.0,0.15,0,36
60,0.0,0.21,0,61
61,0.0,0.3,0,83
62,0.0,0.11,0,35
63,0.0,0.05,0,15
64,0.0,0.1,0,14
65,0.0,0.37,0,77
66,0.0,0.01,0,1
67,0.0,0.55,0,196
68,0.0,0.12,0,27
69,0.0,0.08,0,15
70,0.0,0.05,0,11
71,0.0,0.45,0,89
72,0.0,0.14,0,25
73,0.0,0.39,0,97
74,0.0,0.04,0,9
75,0.0,0.17,0,37
76,0.0,0.94,0,196
77,0.0,0.36,0,96
78,0.0,0.05,0,7
79,0.0,0.05,0,16
80,0.0,0.69,0,196
81,0.0,0.04,0,5
82,0.15969388,0.81,1,183
83,0.0,0.24,0,64
84,0.0,0.19,0,57
85,0.0,0.43,0,114
86,0.0,0.57,0,130
87,0.0,0.14,0,33
88,0.0,0.1,0,44
89,0.0,0.59,0,196
90,0.0,0.53,0,177
91,0.0,0.16,0,42
92,0.0,0.43,0,100
93,0.0,0.35,0,86
94,0.0,0.52,0,196
95,0.0,0.2,0,74
96,0.0,0.01,0,5
97,0.0,0.5,0,196
98,0.0,0.13,0,62
99,0.0,0.05,0,17
100,0.0,0.08,0,19
101,0.0,0.6,0,182
102,0.0,0.57,0,196
103,0.0,0.51,0,196
104,0.0,0.64,0,196
105,0.1,0.53,1,196
106,0.0,0.69,0,191
107,0.0,0.04,0,14
108,0.0,0.27,0,86
109,0.0,0.26,0,118
110,0.60510206,0.22,1,86
111,0.0,0.16,0,55
112,0.0,0.06,0,15
113,0.4397959,0.38,1,122
114,0.0,0.55,0,99
115,0.0,0.04,0,22
116,0.0,0.12,0,36
117,0.0,0.57,0,133
118,0.0,0.39,0,174
119,0.0,0.48,0,196
120,0.0,0.6,0,196
121,0.0,0.14,0,67
122,0.0,0.2,0,56
123,0.0,0.62,0,196
124,0.0,0.07,0,32
125,0.0,0.58,0,167
126,0.0,0.21,0,107
127,0.0,0.13,0,57
128,0.0,0.66,0,196
129,0.0,0.53,0,149
130,0.0,0.73,0,196
131,0.0,0.33,0,114
132,0.0,0.03,0,9
133,0.0,0.32,0,97
134,0.0,0.96,0,196
135,0.0,0.21,0,89
136,0.0,0.43,0,125
137,0.0,0.18,0,52
138,0.0,0.27,0,64
139,0.0,0.44,0,126
140,0.0,0.03,0,3
141,0.0,0.12,0,31
142,0.0,0.27,0,58
143,0.0,0.02,0,13
144,0.0,0.21,0,85
145,0.0,0.89,0,152
146,0.0,0.81,0,196
147,0.0,0.65,0,196
148,0.0,0.16,0,42
149,0.0,0.28,0,89
150,0.0,0.36,0,64
151,0.0,0.95,0,196
152,0.0,0.41,0,111
153,0.0,0.14,0,44
154,0.0,0.2,0,52
155,0.0,0.58,0,174
156,0.0,0.32,0,89
157,0.0,0.17,0,73
158,0.0,0.03,0,7
159,0.0,0.0,0,2
160,0.0,0.07,0,25
161,0.0,0.22,0,52
162,0.0,0.06,0,17
163,0.0,0.09,0,40
164,0.0,0.41,0,96
165,0.0,0.0,0,1
166,0.0,0.56,0,196
167,0.0,0.49,0,145
168,0.0,0.72,0,173
169,0.0,0.1,0,40
170,0.0,1.07,0,196
171,0.0,0.76,0,196
172,0.0,0.26,0,55
173,0.0,0.11,0,30
174,0.0,0.35,0,74
175,0.0,0.33,0,81
176,0.0,0.55,0,196
177,0.0,0.39,0,151
178,0.0,0.57,0,196
179,0.0,0.4,0,117
180,0.0,0.03,0,5
181,0.0,0.53,0,196
182,0.0,0.59,0,196
183,0.0,0.55,0,196
184,0.0,0.01,0,3
185,0.0,0.82,0,196
186,0.0,0.77,0,196
187,0.0,0.58,0,182
188,0.0,0.54,0,196
189,0.0,0.52,0,196
190,0.0,0.44,0,196
191,0.0,0.45,0,196
192,0.0,0.77,0,196
193,0.0,0.56,0,196
194,0.0,0.44,0,196
195,0.0,0.55,0,196
196,0.0,0.45,0,196
197,0.0,0.51,0,196
198,0.0,0.46,0,181
199,0.0,0.49,0,196
200,0.0,0.6,0,196
201,0.0,0.28,0,95
202,0.0,0.2,0,82
203,0.0,0.62,0,196
204,0.0,0.35,0,133
