episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.31,0,11
1,0.0,0.48,0,27
2,0.0,0.47,0,31
3,0.0,1.17,0,85
4,0.0,0.33,0,48
5,0.0,2.13,0,189
6,0.0,0.1,0,3
7,0.0,0.13,0,6
8,0.0,1.0,0,56
9,0.0,0.34,0,26
10,0.0,2.95,0,228
11,0.0,1.29,0,85
12,0.0,0.15,0,8
13,0.0,4.33,0,324
14,0.0,0.63,0,57
15,0.0,3.74,0,204
16,0.0,3.78,0,252
17,0.0,4.49,0,324
18,0.0,1.49,0,104
19,0.0,4.2,0,324
20,0.0,4.14,0,324
21,0.0,1.29,0,57
22,0.0,0.69,0,59
23,0.0,4.77,0,324
24,0.0,0.3,0,12
25,0.0,3.52,0,268
26,0.0,1.43,0,62
27,0.0,3.99,0,285
28,0.0,4.3,0,324
29,0.0,0.83,0,57
30,0.0,5.04,0,324
31,0.7722222,1.07,1,82
32,0.0,0.34,0,18
33,0.0,1.05,0,49
34,0.0,0.06,0,2
35,0.0,4.61,0,278
36,0.0,1.76,0,103
37,0.0,2.18,0,172
38,0.0,0.58,0,40
39,0.0,0.43,0,26
40,0.0,1.11,0,56
41,0.0,1.36,0,106
42,0.0,1.66,0,126
43,0.0,1.0,0,42
44,0.0,2.17,0,167
45,0.0,1.53,0,73
46,0.0,0.42,0,26
47,0.0,0.56,0,43
48,0.0,0.28,0,17
49,0.0,1.18,0,103
50,0.0,0.49,0,28
51,0.0,0.18,0,17
52,0.0,0.31,0,33
53,0.0,2.45,0,241
54,0.0,1.19,0,113
55,0.0,0.26,0,33
56,0.0,0.92,0,84
57,0.0,0.65,0,35
58,0.0,0.58,0,34
59,0.0,0.88,0,81
60,0.0,2.59,0,309
61,0.0,0.59,0,70
62,0.0,3.39,0,201
63,0.0,0.07,0,2
64,0.0,1.07,0,96
65,0.0,0.37,0,32
66,0.0,0.92,0,64
67,0.0,1.61,0,128
68,0.0,2.92,0,324
69,0.0,1.76,0,200
70,0.0,3.56,0,324
71,0.0,1.48,0,158
72,0.0,0.37,0,27
73,0.0,3.62,0,209
74,0.0,0.57,0,54
75,0.0,0.64,0,48
76,0.0,0.08,0,6
77,0.0,0.68,0,35
78,0.0,0.7,0,57
79,0.0,1.84,0,171
80,0.0,2.71,0,324
81,0.0,1.36,0,65
82,0.0,0.8,0,70
83,0.0,0.93,0,83
84,0.0,5.01,0,307
85,0.9111111,0.4,1,32
86,0.0,4.65,0,314
87,0.0,1.86,0,161
88,0.0,0.12,0,13
89,0.0,0.5,0,35
90,0.0,0.86,0,66
91,0.0,4.84,0,259
92,0.0,5.58,0,244
93,0.0,0.12,0,21
94,0.0,0.41,0,45
95,0.0,0.53,0,44
96,0.0,0.91,0,97
97,0.0,6.28,0,324
98,0.0,0.6,0,60
99,0.0,4.53,0,324
100,0.0,3.85,0,324
101,0.0,1.5,0,184
102,0.0,4.77,0,223
103,0.0,0.1,0,18
104,0.0,1.16,0,87
105,0.0,0.38,0,48
106,0.0,2.22,0,324
107,0.0,0.76,0,254
108,0.0,14.78,0,324
109,0.0,0.99,0,83
110,0.0,6.81,0,233
111,0.0,0.65,0,49
112,0.0,0.37,0,45
113,0.0,0.09,0,6
114,0.0,0.7,0,75
115,0.0,3.79,0,324
116,0.0,2.36,0,321
117,0.0,0.17,0,8
118,0.0,0.44,0,62
119,0.0,1.74,0,324
120,0.0,8.87,0,324
121,0.0,7.55,0,324
122,0.0,7.41,0,324
123,0.0,4.23,0,324
124,0.0,2.15,0,324
125,0.0,7.37,0,324
126,0.0,1.45,0,141
127,0.0,0.57,0,103
128,0.0,1.29,0,156
129,0.0,2.12,0,113
130,0.0,8.18,0,324
131,0.0,1.3,0,84
132,0.0,0.08,0,6
133,0.0,0.92,0,63
134,0.0,2.69,0,179
135,0.0,1.37,0,75
136,0.0,0.87,0,44
137,0.0,7.8,0,246
138,0.0,0.09,0,11
139,0.0,0.28,0,8
140,0.0,2.59,0,74
141,0.0,7.0,0,176
142,0.0,2.85,0,106
143,0.0,3.39,0,132
144,0.0,1.47,0,41
145,0.0,3.16,0,155
146,0.0,0.17,0,15
147,0.0,3.11,0,136
148,0.0,1.01,0,324
149,0.0,2.18,0,173
150,0.0,0.22,0,44
151,0.0,1.01,0,324
152,0.0,0.14,0,324
153,0.0,0.51,0,324
154,0.0,0.24,0,324
155,0.0,0.06,0,324
156,0.0,0.14,0,324
157,0.0,0.02,0,324
158,0.0,0.13,0,112
159,0.0,0.13,0,324
160,0.0,1.35,0,324
161,0.0,0.13,0,256
162,0.0,0.09,0,324
163,0.0,0.42,0,324
164,0.0,0.34,0,324
165,0.0,0.9,0,324
166,0.0,1.67,0,324
167,0.0,0.5,0,324
168,0.0,1.3,0,324
169,0.0,1.1,0,192
170,0.0,1.96,0,324
171,0.0,2.64,0,324
172,0.0,0.44,0,50
173,0.0,0.21,0,26
