episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.67,0,256
1,0.0,0.74,0,256
2,0.0,0.77,0,256
3,0.0,0.67,0,256
4,0.0,0.85,0,256
5,0.0,0.59,0,256
6,0.0,0.59,0,256
7,0.4375,0.45,1,160
8,0.49023438,0.3,1,145
9,0.775,0.16,1,64
10,0.86640626,0.05,1,38
11,0.0,0.99,0,256
12,0.15625,0.44,1,240
13,0.0,0.73,0,256
14,0.0,0.69,0,256
15,0.54296875,0.48,1,130
16,0.6625,0.19,1,96
17,0.86992186,0.15,1,37
18,0.0,0.78,0,256
19,0.6660156,0.36,1,95
20,0.0,0.53,0,256
21,0.30742186,0.52,1,197
22,0.9578125,0.03,1,12
23,0.94023436,0.04,1,17
24,0.9085938,0.06,1,26
25,0.9472656,0.04,1,15
26,0.77851564,0.14,1,63
27,0.92265624,0.05,1,22
28,0.7433594,0.15,1,73
29,0.83125,0.12,1,48
30,0.690625,0.27,1,88
31,0.859375,0.06,1,40
32,0.5359375,0.2,1,132
33,0.82421875,0.05,1,50
34,0.803125,0.1,1,56
35,0.9472656,0.02,1,15
36,0.94023436,0.03,1,17
37,0.9507812,0.03,1,14
38,0.92265624,0.07,1,22
39,0.9050781,0.07,1,27
40,0.94375,0.04,1,16
41,0.93671876,0.03,1,18
42,0.9296875,0.08,1,20
43,0.9507812,0.03,1,14
44,0.775,0.13,1,64
45,0.93671876,0.02,1,18
46,0.92265624,0.06,1,22
47,0.77851564,0.05,1,63
48,0.7714844,0.01,1,65
49,0.8347656,0.02,1,47
50,0.7855469,0.04,1,61
51,0.915625,0.03,1,24
52,0.9121094,0.02,1,25
53,0.7433594,0.11,1,73
54,0.8839844,0.04,1,33
55,0.93671876,0.03,1,18
56,0.94023436,0.05,1,17
57,0.84882814,0.04,1,43
58,0.94375,0.05,1,16
59,0.94375,0.04,1,16
60,0.9472656,0.03,1,15
61,0.9085938,0.03,1,26
62,0.9332031,0.03,1,19
63,0.9296875,0.04,1,20
64,0.94375,0.03,1,16
65,0.86992186,0.01,1,37
66,0.8171875,0.05,1,52
67,0.915625,0.02,1,24
68,0.92265624,0.05,1,22
69,0.9332031,0.02,1,19
70,0.83125,0.03,1,48
71,0.8875,0.04,1,32
72,0.93671876,0.02,1,18
73,0.9542969,0.02,1,13
74,0.9085938,0.02,1,26
75,0.9472656,0.01,1,15
76,0.9507812,0.01,1,14
77,0.9332031,0.02,1,19
78,0.9542969,0.0,1,13
79,0.325,0.03,1,192
80,0.11757813,0.02,1,251
81,0.0,0.01,0,256
82,0.0,0.0,0,256
83,0.0,0.02,0,256
84,0.0,0.02,0,256
85,0.0,0.01,0,256
86,0.0,0.01,0,256
87,0.0,0.02,0,256
88,0.0,0.02,0,256
89,0.0,0.0,0,256
90,0.0,0.01,0,256
91,0.0,0.01,0,256
92,0.0,0.0,0,256
93,0.0,0.0,0,256
94,0.0,0.02,0,256
95,0.0,0.02,0,256
96,0.0,0.01,0,256
97,0.0,0.01,0,256
98,0.0,0.02,0,256
99,0.47617188,0.08,1,149
100,0.859375,0.08,1,40
101,0.94375,0.05,1,16
102,0.9578125,0.02,1,12
103,0.86992186,0.09,1,37
104,0.94375,0.04,1,16
105,0.9542969,0.02,1,13
106,0.9472656,0.06,1,15
107,0.71875,0.07,1,80
108,0.9578125,0.02,1,12
109,0.9578125,0.03,1,12
110,0.3953125,0.16,1,172
111,0.9507812,0.05,1,14
112,0.9578125,0.03,1,12
113,0.72929686,0.13,1,77
114,0.75742185,0.11,1,69
115,0.8382813,0.05,1,46
116,0.86992186,0.07,1,37
117,0.9578125,0.02,1,12
118,0.746875,0.14,1,72
119,0.9578125,0.01,1,12
120,0.9542969,0.03,1,13
121,0.9578125,0.01,1,12
122,0.9578125,0.02,1,12
123,0.9507812,0.05,1,14
124,0.9578125,0.02,1,12
125,0.9578125,0.02,1,12
126,0.9578125,0.03,1,12
127,0.8558594,0.1,1,41
128,0.9472656,0.03,1,15
129,0.9472656,0.02,1,15
130,0.94375,0.03,1,16
131,0.0,0.13,0,256
132,0.0,0.18,0,256
133,0.19140625,0.14,1,230
134,0.0,0.1,0,256
135,0.37421876,0.13,1,178
136,0.0,0.21,0,256
137,0.4796875,0.11,1,148
138,0.8804687,0.06,1,34
139,0.0,0.33,0,256
140,0.2828125,0.15,1,204
141,0.9507812,0.02,1,14
142,0.9507812,0.05,1,14
143,0.9507812,0.03,1,14
144,0.94375,0.03,1,16
145,0.9507812,0.01,1,14
146,0.9507812,0.03,1,14
147,0.9507812,0.02,1,14
148,0.9507812,0.03,1,14
149,0.9507812,0.03,1,14
150,0.8734375,0.08,1,36
151,0.9507812,0.03,1,14
152,0.9507812,0.01,1,14
153,0.86992186,0.05,1,37
154,0.9507812,0.04,1,14
155,0.9507812,0.04,1,14
156,0.9507812,0.05,1,14
157,0.9472656,0.03,1,15
158,0.9507812,0.02,1,14
159,0.9507812,0.04,1,14
160,0.9507812,0.05,1,14
161,0.9507812,0.03,1,14
162,0.9507812,0.02,1,14
163,0.9507812,0.03,1,14
164,0.8734375,0.06,1,36
165,0.8734375,0.08,1,36
166,0.9507812,0.03,1,14
167,0.9507812,0.02,1,14
168,0.9507812,0.0,1,14
169,0.9507812,0.05,1,14
170,0.9507812,0.02,1,14
171,0.9507812,0.05,1,14
172,0.9507812,0.05,1,14
173,0.9507812,0.06,1,14
174,0.9507812,0.02,1,14
175,0.9507812,0.02,1,14
176,0.9507812,0.04,1,14
177,0.9507812,0.03,1,14
178,0.8734375,0.06,1,36
179,0.9507812,0.03,1,14
180,0.9507812,0.01,1,14
181,0.9507812,0.0,1,14
182,0.8734375,0.06,1,36
183,0.9507812,0.04,1,14
184,0.9507812,0.02,1,14
185,0.9507812,0.03,1,14
186,0.9507812,0.05,1,14
187,0.9472656,0.03,1,15
188,0.9507812,0.05,1,14
189,0.9507812,0.01,1,14
190,0.94375,0.03,1,16
191,0.93671876,0.05,1,18
192,0.9507812,0.03,1,14
193,0.9507812,0.05,1,14
194,0.8734375,0.08,1,36
195,0.9472656,0.03,1,15
196,0.9472656,0.03,1,15
197,0.9507812,0.05,1,14
198,0.86640626,0.08,1,38
199,0.9050781,0.03,1,27
200,0.9085938,0.04,1,26
201,0.89804685,0.05,1,29
202,0.9050781,0.04,1,27
203,0.89804685,0.05,1,29
204,0.8839844,0.02,1,33
205,0.86992186,0.03,1,37
206,0.9015625,0.07,1,28
207,0.89804685,0.04,1,29
208,0.86992186,0.05,1,37
209,0.9015625,0.02,1,28
210,0.9472656,0.02,1,15
211,0.8769531,0.03,1,35
212,0.8804687,0.02,1,34
213,0.89453125,0.03,1,30
214,0.8839844,0.05,1,33
215,0.93671876,0.04,1,18
216,0.84882814,0.03,1,43
217,0.9050781,0.03,1,27
218,0.89453125,0.04,1,30
219,0.8804687,0.06,1,34
220,0.8769531,0.03,1,35
221,0.79960936,0.03,1,57
222,0.915625,0.05,1,24
223,0.8734375,0.04,1,36
224,0.79960936,0.05,1,57
225,0.94023436,0.04,1,17
226,0.89453125,0.05,1,30
227,0.89453125,0.03,1,30
228,0.91914064,0.04,1,23
229,0.89804685,0.04,1,29
230,0.89101565,0.06,1,31
231,0.9050781,0.05,1,27
232,0.89804685,0.04,1,29
233,0.8769531,0.02,1,35
234,0.89804685,0.04,1,29
235,0.8453125,0.04,1,44
236,0.8628906,0.05,1,39
237,0.8875,0.02,1,32
238,0.8875,0.07,1,32
239,0.8875,0.06,1,32
240,0.89101565,0.04,1,31
241,0.9015625,0.03,1,28
242,0.89101565,0.04,1,31
243,0.86992186,0.01,1,37
244,0.9085938,0.02,1,26
245,0.94375,0.02,1,16
246,0.8839844,0.04,1,33
247,0.93671876,0.02,1,18
248,0.9121094,0.02,1,25
249,0.8734375,0.05,1,36
250,0.8839844,0.06,1,33
251,0.89453125,0.05,1,30
252,0.89804685,0.02,1,29
253,0.9050781,0.01,1,27
254,0.915625,0.01,1,24
255,0.89453125,0.04,1,30
256,0.8804687,0.06,1,34
257,0.8628906,0.04,1,39
258,0.859375,0.02,1,40
259,0.92265624,0.05,1,22
260,0.89453125,0.08,1,30
261,0.89101565,0.03,1,31
262,0.8769531,0.04,1,35
263,0.9121094,0.06,1,25
264,0.9015625,0.08,1,28
265,0.89804685,0.05,1,29
266,0.94023436,0.03,1,17
267,0.92265624,0.04,1,22
